"id","url","summary","description","type","priority","status","resolution","created","resolved","labels","versions","fixversions","comments"
28,"https://gitlab.com/graphviz/graphviz/-/issues/28","graphviz on mac not reliably re-reading document changes","When editing a graph dot file in an external editor then saving the changes, Graphviz.app doesn't alway (almost never) re-reads the changed file and update the graph accordingly.  Also when adding a new edge the graph typically completely disappears and leaves a dark gray screen that has to be closed, and the graph file re-opened.  Sometimes when adding an edge it doesn't do this though.  When syntax errors are present in the graph file, it won't re-read the contents after they have been corrected.
I'm running this on the latest version of Mac OS X Yosemite (10.10) on the newest 15"" Macbook Pro with retina display (mid 2014 model)",NULL,NULL,"closed",NULL,"2014-11-06 00:02:07-05","2020-07-03 00:02:47.008-04","[]","[]","[]","[]"
32,"https://gitlab.com/graphviz/graphviz/-/issues/32","mkstemp not available on win32","*Created by: tkelman*

I'm trying to work through a set of changes (mostly minor so far) to fix #19 and build Graphviz with MinGW-w64. In f8f7cbb67a1181a99b20618c798677832139ee61 a use of `mktemp` was replaced by `mkstemp`, apparently to fix a warning, but that function is not available in msvcrt. `mktemp` is deprecated but at least it's present - http://msdn.microsoft.com/en-us/library/ms235413.aspx. I believe this issue applies equally to MSVC but I haven't tested that.

There is a BSD-licensed `mkstemp` implementation for win32 available here https://github.com/storoj/libimobiledevice-win32/blob/master/libzip/mkstemp.c but I'm not sure how standalone it is.
",NULL,NULL,"closed",NULL,"2015-01-08 00:06:06-05",NULL,"[]","[]","[]","[]"
36,"https://gitlab.com/graphviz/graphviz/-/issues/36","Windows Visual Studio build issues?","*Created by: g40*

I'd be really grateful for a brief overview of how the Graphviz distribution for Windows actually gets built*. 

The Visual Studio project files in this repo are incomplete (lacking for example rules to run Bison/Flex) but most importantly there is no project to build libltdl, which seems to be a fundamental requirement for loading the various layout and rendering engines. I tried assembling a VS project on the basis of the makefile rules but this does not seem to cover all options.

Any help welcomed. It would be great to be able to build and debug the suite in Visual Studio and I'd be more than happy to put in the work to get a complete VS solution.

Thanks.

*I tried compiling using the msys environment but that fails early on as well ... 
",NULL,NULL,"closed",NULL,"2015-02-02 00:00:31-05","2020-06-08 00:08:16.859-04","[]","[]","[]","[]"
39,"https://gitlab.com/graphviz/graphviz/-/issues/39","Allowing svg attributes in dot files","Dear,

Currently dot file do not have these [svg attributes](http://www.w3.org/TR/SVG/script.html):
- onload
- onfocusin
- onfocusout
- onactivate
- onclick
- onmousedown
- onmouseup
- onmouseover
- onmousemove
- onmouseout
- onunload
- onabort
- onerror
- onresize
- onscroll
- onzoom
- onbegin
- onend
- onrepeat

Graphviz by allowing these attributes inside dot file will improve usage possibility when a SVG file is generated. Use them only when output format svg could to be a good solution. It has only to do copy / paste .

I am not a graphviz dev, but It seem that adding these attributes into obj_state_s in [gvcjob.h](https://github.com/ellson/graphviz/blob/master/lib/gvc/gvcjob.h#L190) the job is almost done.

Could you to add this minor feature ?

Currently as workaround is possible to do some xml injection:
example

``` dot
digraph G {
    node [rx=5 ry=5];
    edge [color=""black"", minlen=""1.3"", arrowsize=""0.6"", style=""tapered""];
    A;
    C;
    E [ URL=""\"" onmouseover=\""evt.target.setAttribute('opacity', '0.5');"" ];
    A -> B -> C;
    B -> D ;
    D -> E;
    C -> E;
    A -> D;
}
```

url attributes is closed and we inject an attributes events

Thanks
",NULL,NULL,"opened",NULL,"2015-02-18 00:06:54-05",NULL,"[]","[]","[]","[]"
41,"https://gitlab.com/graphviz/graphviz/-/issues/41","[SVG] tooltip dot attribute's append a useless subnode","Dear,

when using:

``` dot
digraph G {
    A[ label=""test"", id=""test"", tooltip=""<b>I test</b> cool""];
}
```

that generate:

``` xml
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<!DOCTYPE svg PUBLIC ""-//W3C//DTD SVG 1.1//EN""
 ""http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd"">
<!-- Generated by graphviz version 2.38.0 (20140413.2041)
 -->
<!-- Title: G Pages: 1 -->
<svg width=""62pt"" height=""44pt""
 viewBox=""0.00 0.00 62.00 44.00""
    xmlns=""http://www.w3.org/2000/svg""
    xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <g id=""graph0"" class=""graph"" transform=""scale(1 1) rotate(0) translate(4 40)"">
        <title>G</title>
        <polygon fill=""white"" stroke=""none"" points=""-4,4 -4,-40 58,-40 58,4 -4,4""/>
        <!-- A -->
        <g id=""test"" class=""node"">
            <title>A</title>
            <g id=""a_test"">
                <a xlink:title=""&lt;b&gt;I test &lt;/b&gt; cool"">
                    <ellipse fill=""none"" stroke=""black"" cx=""27"" cy=""-18"" rx=""27"" ry=""18""/>
                    <text text-anchor=""middle"" x=""27"" y=""-14.3"" font-family=""Times,serif"" font-size=""14.00"">test</text>
                </a>
            </g>
        </g>
    </g>
```

extra `<g>` is uselless in more that generate a new id which not ease javascript usage on it.

``` xml
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<!DOCTYPE svg PUBLIC ""-//W3C//DTD SVG 1.1//EN""
 ""http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd"">
<!-- Generated by graphviz version 2.38.0 (20140413.2041)
 -->
<!-- Title: G Pages: 1 -->
<svg width=""62pt"" height=""44pt""
 viewBox=""0.00 0.00 62.00 44.00""
    xmlns=""http://www.w3.org/2000/svg""
    xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <g id=""graph0"" class=""graph"" transform=""scale(1 1) rotate(0) translate(4 40)"">
        <title>G</title>
        <polygon fill=""white"" stroke=""none"" points=""-4,4 -4,-40 58,-40 58,4 -4,4""/>
        <!-- A -->
        <g id=""test"" class=""node"" title=""&lt;b&gt;I test &lt;/b&gt; cool"">
            <title>A</title>
            <ellipse fill=""none"" stroke=""black"" cx=""27"" cy=""-18"" rx=""27"" ry=""18""/>
            <text text-anchor=""middle"" x=""27"" y=""-14.3"" font-family=""Times,serif"" font-size=""14.00"">test</text>
        </g>
    </g>
</svg>
```",NULL,NULL,"closed",NULL,"2015-02-20 00:09:05-05","2020-07-14 00:08:34.688-04","[]","[]","[]","[]"
42,"https://gitlab.com/graphviz/graphviz/-/issues/42","segfault when using splines=true","*Created by: mattjj*

I'm getting a segfault when I use the splines attribute. I'm using [this .dot file](https://gist.github.com/mattjj/5abf1c181150b8755775) with the command

```
neato -n2 -Tpng dot.dot > png.png
```

The issue seems to be with the graph attribute `splines=true` because when I remove that line everything works great!

The output of `neato -V` is `neato - graphviz version 2.38.0 (20140413.2041)`, which is the current version on MacPorts.

I haven't investigated the segfault much yet. Should I try upgrading to a more recent graphviz version first?

EDIT: same problem on `neato - graphviz version 2.39.20150224.0545 (20150224.0545)`
",NULL,NULL,"closed",NULL,"2015-02-25 00:05:32-05","2022-11-17 00:02:42.892-05","[]","[]","[]","[]"
44,"https://gitlab.com/graphviz/graphviz/-/issues/44","Neato segfault when `concentrate=true`","[This graphviz](https://raw.githubusercontent.com/dilawar/nC_projects/e5b9490d65c02829761595894bb0ca71ce14e601/simple_network/network.dot) causes segfault with neato.

```
$ neato -Tpng network.dot > network.png
Segmentation fault
```

```
$ neato -V
neato - graphviz version 2.36.0 (20140111.2315)
$ uname -a
Linux chamcham 3.13.0-40-generic #69-Ubuntu SMP Thu Nov 13 17:53:56 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux
```
",NULL,NULL,"closed",NULL,"2015-03-13 00:04:49-04",NULL,"[]","[]","[]","[]"
45,"https://gitlab.com/graphviz/graphviz/-/issues/45","Failed to compile under MinGW","*Created by: ghost*

Hello,

I have the following error when compiling with MinGW-w64:

```
graph.c:281:1: error: initializer element is not constant
 Agdisc_t AgDefaultDisc = { &AgMemDisc, &AgIdDisc, &AgIoDisc };
 ^
graph.c:281:1: error: (near initialization for 'AgDefaultDisc.mem')
graph.c:281:1: error: initializer element is not constant
graph.c:281:1: error: (near initialization for 'AgDefaultDisc.id')
graph.c:281:1: error: initializer element is not constant
graph.c:281:1: error: (near initialization for 'AgDefaultDisc.io')
make[3]: **\* [graph.lo] Error 1
```

It's the version 2.38.0.",NULL,NULL,"closed",NULL,"2015-03-23 00:04:19-04","2021-12-13 00:05:12.284-05","[]","[]","[]","[]"
48,"https://gitlab.com/graphviz/graphviz/-/issues/48","Nightly build","I was looking into creating a nightly build using [travis](http://docs.travis-ci.com/user/languages/c/). It would run through the PRs and make sure they are valid before merging in the code.
1. Do we currently have an alternative nightly build with something like [jenkins](https://jenkins-ci.org/)?
2. We have [build](http://www.graphviz.org/doc/build.html) instrucitons but do we have test instructions?3. Would building just on a single operating system be good enough? (at least for starters)
3. Is this something that interests you? I have no problem doing the work, just don't want to do this work if you have an alternative / don't want.

Thanks,
Keenan
",NULL,NULL,"closed",NULL,"2015-05-04 00:03:28-04",NULL,"[]","[]","[]","[]"
49,"https://gitlab.com/graphviz/graphviz/-/issues/49","PDF generation with bug (CarioFont-0-0)","*Created by: DenisKolodin*

If I generate pdf with this dot I catch an error in Acrobat (Can't extract CarioFont-0-0):

```
digraph {
    compound=true;
    graph [fontname=""helvetica"" fontsize=20];
    node [fontname=""helvetica""];
    edge [fontname=""helvetica""];
    labelloc=""t"";
    label=""Моделирование системы управления запасами/1.0 (3600 дн.)"";
    subgraph cluster_8 {
        label=""Возникновение спроса"";
        node_9 [label=""#Start"" color=green shape=invhouse xlabel=""""];
        node_10 [label=""#End"" color=blue shape=house xlabel=""""];
    }
    subgraph cluster_5 {
        label=""Ожидание заказа"";
        node_6 [label=""#Start"" color=green shape=invhouse xlabel=""0.47""];
        node_7 [label=""#End"" color=blue shape=house xlabel=""""];
        node_6 -> node_7 [label=""72
[23 дн. 8 час. 3 мин. 46 сек.]"" style=bold];
    }
    subgraph cluster_14 {
        label=""Оценка запасов"";
        node_15 [label=""#Start"" color=green shape=invhouse xlabel=""""];
        node_16 [label=""#End"" color=blue shape=house xlabel=""""];
    }
    subgraph cluster_11 {
        label=""Приобретение"";
        node_12 [label=""#Start"" color=green shape=invhouse xlabel=""32.61""];
        node_13 [label=""#End"" color=blue shape=house xlabel=""""];
        node_12 -> node_13 [label=""860
[136 дн. 12 час. 23 мин. 1 сек.]"" style=bold];
    }
        node_15 -> node_6 [lhead=cluster_5];
        node_9 -> node_12 [lhead=cluster_11];
}
```

But if I change value in label from 3600 to another or when remove cluster_11 pdf opens correct.
I use stable version 2.38 on Windows 8.1 with Acrobat 11.0.10.
How to fix it?",NULL,NULL,"closed",NULL,"2015-05-05 00:08:16-04","2020-07-28 00:03:27.208-04","[]","[]","[]","[]"
51,"https://gitlab.com/graphviz/graphviz/-/issues/51","Compiling Graphviz with msys+mingw-w64 toolchain","*Created by: taylorruss*

I apologize for cross-posting on graphviz forum and here.  
I have the exact same issue as the one posted last year - https://github.com/ellson/graphviz/issues/19
Was any solution found?
",NULL,NULL,"closed",NULL,"2015-05-23 00:05:32-04","2020-06-08 00:06:11.494-04","[]","[]","[]","[]"
52,"https://gitlab.com/graphviz/graphviz/-/issues/52","building on OSX Mavericks with llvm clang from Xcode 6.3.2","*Created by: magneticnorth*

The build breaks in gvedit, when the link omits the C++ std library.
Undefined symbols for architecture x86_64:
  ""std::terminate()"", referenced from:
      ___clang_call_terminate in gvedit-moc_imageviewer.o
      ___clang_call_terminate in gvedit-moc_mdichild.o
ld: symbol(s) not found for architecture x86_64
clang: error: linker command failed with exit code 1 (use -v to see invocation)

Weirdly, the build works if I manually change g++ to g++-4.8 from Homebrew
in the gvedit Makefile.  (The rest of the build is still llvm.)

This bug surfaced in the last week or so, after a recent update to Xcode.
",NULL,NULL,"closed",NULL,"2015-05-26 00:04:04-04","2020-06-08 00:07:54.311-04","[]","[]","[]","[]"
56,"https://gitlab.com/graphviz/graphviz/-/issues/56","Trapezoid overflow","*Created by: eruffaldi*

The following simple dot crashes due to a limitation in the buffer in trapezoids.c.

Crashing versions:
- 2.37 windows
- 2.39.20150109.0545 (20150109.0545) under OSX
- github master under OSX

BUT not crashing with 2.36 in Ubuntu 14.04

The workaround is to enlarge the allocation of the trapezoids as follows: TRSIZE = ntraps+1; 
## Example (the last edge causes the crash):

```
digraph ""Robot_Localization Components"" {
rankdir=LR;
ratio=compress;
splines=ortho;
size=""8.27,11.69"";
subgraph cluster_Robot_Localization {
labelloc=t;
fontname=""Times-bold"";
color=red;
label=<<B>Robot Localization</B>>;
fontsize=""16.0"";
fontcolor=black;
penwidth=2;
ramcip_some_other_ros_node [shape=plaintext, margin=0, label=<<TABLE border=""1"" cellspacing=""0"" cellborder=""1""><TR><TD>Registered point cloud, list of points (xyz,rgb)</TD></TR><TR><TD><B><BR/>ramcip_some_other_ros_node<BR/><BR/></B></TD></TR><TR><TD>Time stamped outputs</TD></TR></TABLE>>];
ramcip_mapping_or_hector_mapping [shape=plaintext, margin=0, label=<<TABLE border=""1"" cellspacing=""0"" cellborder=""1""><TR><TD>Undistorted, Rectified Depth image (512x424) pixels<BR/>Registered point cloud, list of points (xyz,rgb)</TD></TR><TR><TD><B><BR/>ramcip_mapping or hector_mapping<BR/><BR/></B></TD></TR><TR><TD>current pose expressed in world coordinates (xyz<BR/>rpy)<BR/>Time stamped outputs</TD></TR></TABLE>>];
}

kinect2_bridge_launch [shape=rect, style=filled, fillcolor=gray];
kinect2_bridge_launch -> ramcip_some_other_ros_node  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""sensor_msgs/PointCloud2""];
kinect2_bridge_launch -> ramcip_mapping_or_hector_mapping  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""sensor_msgs/Image\nsensor_msgs/PointCloud2""];
ramcip_large_object_tracking_large_object_tracking [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_large_object_tracking_large_object_tracking  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""*""];
ramcip_robot_navigation_robot_navigation [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_robot_navigation_robot_navigation  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""Robot pose""];
ramcip_human_tracking_human_tracking [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_human_tracking_human_tracking  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""*""];
ramcip_hierarchical_spaces_hierarchical_spaces [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_hierarchical_spaces_hierarchical_spaces  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""*""];
ramcip_lower_body_phri_planner_lower_body_phri_planner [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_lower_body_phri_planner_lower_body_phri_planner  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""current pose expressed in world coordinates (XYZ and rpy euler angles)\nstd_msgs/Float64\nTBD. Delete this???""];
ramcip_affect_recognizer_affect_recognizer [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_affect_recognizer_affect_recognizer  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""*""];
ramcip_manipulation_planner_and_control_manipulation_planner_and_control [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_manipulation_planner_and_control_manipulation_planner_and_control  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""geometry_msgs/PoseStamped or nav_msgs/Odometry\ngeometry_msgs/TwistStamped or nav_msgs/Odometry""];
ramcip_object_detection_object_detection [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_object_detection_object_detection  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""*""];
ramcip_hand_over_controller_hand_over_controller [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_hand_over_controller_hand_over_controller  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""geometry_msgs/PoseStamped or nav_msgs/Odometry\ngeometry_msgs/TwistStamped or nav_msgs/Odometry""];
ramcip_ar_projector_ar_projector [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_ar_projector_ar_projector  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""*""];
ramcip_global_mapping_global_mapping [shape=rect, style=filled, fillcolor=gray];
ramcip_mapping_or_hector_mapping -> ramcip_global_mapping_global_mapping  [fontcolor=red, fontname=Verdana, fontsize=""8.0"", label=""*""];
}
```
",NULL,NULL,"closed",NULL,"2015-08-20 00:07:58-04","2022-11-30 00:03:33.756-05","[]","[]","[]","[]"
