"id","version","addedelements","removedelements","description"
1753,"7.0.2","{lib/circogen/block.c,lib/neatogen/overlap.c}","{lib/circogen/block.c,lib/neatogen/overlap.c}","## Steps to reproduce

Install Graphviz using the `CMake` installer, e.g. by following [these instructions](https://forum.graphviz.org/t/new-simplified-installation-procedure-on-windows/224#abbreviated-installation-instructions-recommended-for-users-with-installation-experience)

## Expected Behaviour

Being able to run `neato`, `gvpr`, `fdp` and others.

## Actual Behaviour

```
C:\Users\magja>neato
'neato' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>gvpr
'gvpr' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>fdp
'fdp' is not recognized as an internal or external command,
operable program or batch file.

```

## OS Version

Windows 10

## Graphviz Version

`dot - graphviz version 2.44.1 (20200629.0846)`

## Additional info

Listing the files in the `CMake` and `MSBuild` installation and grepping for these programs gives this:
```
cmake-files2.txt:./bin/gvplugin_neato_layout.dll
cmake-files2.txt:./lib/gvplugin_neato_layout.lib
cmake-files2.txt:./lib/pkgconfig/libgvpr.pc
msbuild-files2.txt:./bin/fdpgen.lib
msbuild-files2.txt:./bin/gvplugin_neato_layout.dll
msbuild-files2.txt:./bin/gvplugin_neato_layout.exp
msbuild-files2.txt:./bin/gvplugin_neato_layout.lib
msbuild-files2.txt:./bin/gvpr.exe
msbuild-files2.txt:./bin/gvprlib.dll
msbuild-files2.txt:./bin/gvprlib.exp
msbuild-files2.txt:./bin/gvprlib.lib
msbuild-files2.txt:./bin/lneato.exe
msbuild-files2.txt:./bin/neatogen.lib
msbuild-files2.txt:./bin/sfdp.lib
```
I don't know what to make of this info, other than that `gvpr` seems to be included in the `MSBuild` installation."
1753,"6.0.2","{lib/neatogen/overlap.c}","{lib/neatogen/overlap.c}","## Steps to reproduce

Install Graphviz using the `CMake` installer, e.g. by following [these instructions](https://forum.graphviz.org/t/new-simplified-installation-procedure-on-windows/224#abbreviated-installation-instructions-recommended-for-users-with-installation-experience)

## Expected Behaviour

Being able to run `neato`, `gvpr`, `fdp` and others.

## Actual Behaviour

```
C:\Users\magja>neato
'neato' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>gvpr
'gvpr' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>fdp
'fdp' is not recognized as an internal or external command,
operable program or batch file.

```

## OS Version

Windows 10

## Graphviz Version

`dot - graphviz version 2.44.1 (20200629.0846)`

## Additional info

Listing the files in the `CMake` and `MSBuild` installation and grepping for these programs gives this:
```
cmake-files2.txt:./bin/gvplugin_neato_layout.dll
cmake-files2.txt:./lib/gvplugin_neato_layout.lib
cmake-files2.txt:./lib/pkgconfig/libgvpr.pc
msbuild-files2.txt:./bin/fdpgen.lib
msbuild-files2.txt:./bin/gvplugin_neato_layout.dll
msbuild-files2.txt:./bin/gvplugin_neato_layout.exp
msbuild-files2.txt:./bin/gvplugin_neato_layout.lib
msbuild-files2.txt:./bin/gvpr.exe
msbuild-files2.txt:./bin/gvprlib.dll
msbuild-files2.txt:./bin/gvprlib.exp
msbuild-files2.txt:./bin/gvprlib.lib
msbuild-files2.txt:./bin/lneato.exe
msbuild-files2.txt:./bin/neatogen.lib
msbuild-files2.txt:./bin/sfdp.lib
```
I don't know what to make of this info, other than that `gvpr` seems to be included in the `MSBuild` installation."
2058,"7.0.5","{lib/edgepaint/lab_gamut.h}","{lib/edgepaint/lab_gamut.h}","I thought I'd split off a new issue from #2057 to have a longer term discussion of what is the right way to handle symbol visibility. The remainder of this description is going to assume you have read the following:
* #205
* !1760
* #1940
* https://forum.graphviz.org/t/use-dllimport-dllexport-and-or-a-def-file-on-windows/620
* https://docs.microsoft.com/en-us/cpp/cpp/declspec?view=msvc-160
* https://docs.microsoft.com/en-us/cpp/build/exporting-from-a-dll-using-declspec-dllexport?view=msvc-160
* https://docs.microsoft.com/en-us/cpp/build/exporting-from-a-dll-using-def-files?view=msvc-160
* https://gcc.gnu.org/wiki/Visibility

So Graphviz (or really any C/C++ app+lib project) needs to manage visibility wrt linkage that is *outside* the C and C++ standards. To reiterate and stress that last part, there is currently no way to control this kind of symbol visibility with ISO standardized mechanisms.¹ Here is the ideal state for the end user, using the GCC visibility terms:

| context | symbol | visibility |
|----|----|----|
| compiling libfoo | `bar`, a symbol only used internally in libfoo | internal |
| compiling libfoo | `baz`, a symbol that is part of libfoo’s API | default | 
| compiling foo, an app that links against libfoo | `baz` | hidden |
| compiling foo | a symbol from foo itself | hidden |

There are a number of ways to control symbol visibility:
1. Command line options, e.g. `-fvisibility…`
2. GNU attributes, `__attribute((visibility(…)))`
3. MSVC `__declspec`
4. MSVC defs file

(1) is not useful for controlling symbol-by-symbol visibility. (2) is understood by GCC and Clang, but not MSVC. (3) is understood by GCC and MSVC, but not Clang.² (4) is hard to keep in sync with the source.

So essentially I think what we want to aim for is something like the following in a library’s API header:

```c
#ifdef FOO_EXPORT
#ifdef _WIN32
#define FOO_API __declspec(dllexport)
#elif defined(__GNUC__)
#define FOO_API __attibute__((visibility(""default"")))
#else
#define FOO_API /* nothing; suboptimal build with everything visible */
#endif
#else
#ifdef _WIN32
#define FOO_API __declspec(dllimport)
#elif defined(__GNUC__)
#define FOO_API __attribute__((visibility(""hidden"")))
#else
#define FOO_API /* nothing; suboptimal build with everything visible */
#endif
#endif
```

where `FOO_EXPORT` is only defined when compiling the library itself. There are some additional complications for C++,³ but for the most part I think this is it. Please comment if you think we should be moving towards something different.

CC @magjac, @compnerd_

¹ Neither `extern` nor `static` is the droid we are looking for.

² However, in practice the GCC interpretation of this is not so useful as e.g. `__declspec(dllimport)` does *not* imply `extern` as it does under MSVC.

³ As https://gcc.gnu.org/wiki/Visibility discusses, things that need RTTI typically need to be visible across SOs."
1242,"2.46.1","{lib/ast/sfstr.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/glcomp/glCompTrackBar.h,lib/neatogen/pca.h,lib/fdpgen/comp.h}","{lib/ast/sfstr.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/glcomp/glCompTrackBar.h,lib/neatogen/pca.h,lib/fdpgen/comp.h}","*Created by: AstralStorm*

Graphviz is aliasing system headers memory.h and malloc.h.

This causes build failures against libc different than glibc, for example with bionic.

Additionally quite a few source files include <memory.h> while they should be using the graphviz version."
1772,"2.46.0","{lib/vmalloc/vmopen.c,lib/vmalloc/vmbest.c,lib/vmalloc/vmclose.c,lib/vmalloc/vmclear.c,lib/vmalloc/test.c}","{lib/vmalloc/vmopen.c,lib/vmalloc/vmbest.c,lib/vmalloc/vmclose.c,lib/vmalloc/vmclear.c,lib/vmalloc/vmdcheap.c,lib/vmalloc/vmprivate.c}","I've been trying to debug the !1472 pipeline failure. So I dutifully checked out the source branch on my local Linux box and ran the CMake build instead of the Autotools build. But to my surprise, the test suite sprayed huge numbers of failures; not just failures related to the changes in that MR.

After some poking around, I realized the CI jobs are all running completely different test suites:
* the Linux jobs run `ci/test.sh`, which runs `python3 -m pytest --junitxml=report.xml tests rtest`
* the Windows Msbuild jobs run `tests/regression_tests/regression_tests.ps1`, which then runs a Python `unittest` test suite
* the Windows CMake jobs run:
  1. CMake-driven tests that call `python shapes.py` in tests/regression_tests/shapes; and
  2. `pytest -s rtest\test_examples.py`

To put it bluntly: this is a complete mess. We have little visibility into what is broken, coverage of the existing tests is difficult to determine, and it's very hard to even add a test and have confidence it will get run.

I don't mean this as an accusation of anyone (I know we're all doing our best), but we need to fix this situation. I spent a couple of hours debugging ""why do my local failures disagree with CI?"" which exhausted all the time I had available today to spend on addressing Graphviz user issues. The build system -- and now test suite -- diversity is gradually grinding progress to a standstill."
1748,"4.0.0","{lib/edgepaint/lab_gamut.c}","{lib/edgepaint/lab_gamut.c}","## Steps to reproduce

1. Download `Graphviz-install.exe` from e.g. [here](https://ci.appveyor.com/api/buildjobs/kw9k9h7lt74he1j4/artifacts/build%2FGraphviz-install.exe)
2. Run it
3. Repeat using another build version

## Expected Behaviour

IMHO, the default should be to install Graphviz without using the version and build date in the path or name, thus overwriting a previously installed version. Alternatively the version should be kept, but the build version (or patch version if it's an official release) dropped.

## Actual Behaviour

The new version is installed alongside previously installed versions if the defaults are accepted.

The reason being that the Windows CMake installer by default installs Graphviz under a path and name containing the version and build date.

```
dir ""C:\Program Files\Graphviz*""
...
 Directory of C:\Program Files

2020-06-23  10:29    <DIR>          Graphviz 2.45.20200615.0949
2020-06-22  21:33    <DIR>          Graphviz 2.45.20200621.0824
2020-06-23  10:03    <DIR>          Graphviz 2.45.20200622.0758
```

The start menu looks like this:

![image](/uploads/260a5c6f417b44ed3f9e62890d5374c2/image.png)

If `Add Graphviz to the system PATH for current user` is selected, the PATH will contain all previously installed versions.

## OS Version

Windows 10

## Graphviz Version

`dot - graphviz version 2.45.20200622.0758 (20200622.0758)`

## Additional info

I realize that this issue is somewhat opinionated. I'm open for arguments to keep it as it is."
19,"7.0.5","{lib/edgepaint/lab_gamut.h}","{lib/edgepaint/lab_gamut.h}","```
make[4]: Entering directory `/home/rush/Programowanie/graphviz.git/lib/sfio/Sfio_f'
  CC       _sfclrerr.lo
In file included from ../../../lib/sfio/sfio_t.h:46:0,
                 from ../../../lib/sfio/sfhdr.h:29,
                 from _sfclrerr.c:14:
../../../lib/sfio/sfio.h:292:10: error: operator '&&' has no left operand
 #if _DLL && _DLL_INDIRECT_DATA
          ^
make[4]: *** [_sfclrerr.lo] Error 1
make[4]: Leaving directory `/home/rush/Programowanie/graphviz.git/lib/sfio/Sfio_f'
make[3]: *** [all-recursive] Error 1
make[3]: Leaving directory `/home/rush/Programowanie/graphviz.git/lib/sfio'
make[2]: *** [all-recursive] Error 1
make[2]: Leaving directory `/home/rush/Programowanie/graphviz.git/lib'
make[1]: *** [all-recursive] Error 1
make[1]: Leaving directory `/home/rush/Programowanie/graphviz.git'
make: *** [all] Error 2
```

Here is my config.log: http://x.rushbase.net/53b5e3a857ed75506806af16ce9a63501396abbd/config.log

Here is my configure line:
`./configure --host=i686-w64-mingw32 --enable-shared --disable-static`

Everything seems to detected properly:

```
graphviz-2.35.0 will be compiled with the following:

options:
  graph:         No (disabled deprecated)
  cgraph:        Yes
  digcola:       Yes
  expat:         No (missing library)
  fontconfig:    Yes
  freetype:      Yes
  glut:          No (missing GL/glut.h)
  ann:           No (ANN library not available)
  gts:           No (gts library not available)
  ipsepcola:     No (disabled by default - C++ portability issues)
  ltdl:          No (disabled)
  ortho:         Yes
  sfdp:          Yes
  shared:        Yes
  static:        No (disabled by default)
  qt:            Yes
  x:             No (disabled or unavailable)

commands:
  dot:           Yes (always enabled)
  neato:         Yes (always enabled)
  fdp:           Yes (always enabled)
  circo:         Yes (always enabled)
  twopi:         Yes (always enabled)
  gvpr:          Yes (always enabled)
  gvmap:         Yes (always enabled)
  lefty:         No (missing Xaw headers)
  smyrna:        No (disabled by default - experimental)
  gvedit:        Yes

plugin libraries:
  dot_layout:    Yes (always enabled)
  neato_layout:  Yes (always enabled)
  core:          Yes (always enabled)
  devil:         No (missing library)
  gd:            No (gd headers not found)
  gdiplus:       No (disabled by default - Windows only)
  gdk_pixbuf:    No (disabled)
  ghostscript:   No (missing Xrender)
  glitz:         No (disabled by default - incomplete)
  gtk:           Yes
  lasi:          No (lasi library not available)
  ming:          No (disabled by default - incomplete)
  pangocairo:    Yes
  poppler:       Yes
  quartz:        No (disabled by default - Mac only)
  rsvg:          Yes
  visio:         No (disabled by default - experimental)
  webp:          No (disabled by default - experimental)
  xlib:          No (disabled or unavailable)
```

It seems that sfio seems to be inherently Unix-based .. but I may be mistaken, please advise. I tried following http://www.graphviz.org/doc/winbuild.html but it seems to be more confusing than helpful as all the extra switches should not be necessary with properly configured pkg-config and cross-compilation environment. I believe my environment is proper.

Regards,
Damian"
1748,"5.0.0","{lib/edgepaint/lab_gamut.c}","{lib/edgepaint/lab_gamut.c}","## Steps to reproduce

1. Download `Graphviz-install.exe` from e.g. [here](https://ci.appveyor.com/api/buildjobs/kw9k9h7lt74he1j4/artifacts/build%2FGraphviz-install.exe)
2. Run it
3. Repeat using another build version

## Expected Behaviour

IMHO, the default should be to install Graphviz without using the version and build date in the path or name, thus overwriting a previously installed version. Alternatively the version should be kept, but the build version (or patch version if it's an official release) dropped.

## Actual Behaviour

The new version is installed alongside previously installed versions if the defaults are accepted.

The reason being that the Windows CMake installer by default installs Graphviz under a path and name containing the version and build date.

```
dir ""C:\Program Files\Graphviz*""
...
 Directory of C:\Program Files

2020-06-23  10:29    <DIR>          Graphviz 2.45.20200615.0949
2020-06-22  21:33    <DIR>          Graphviz 2.45.20200621.0824
2020-06-23  10:03    <DIR>          Graphviz 2.45.20200622.0758
```

The start menu looks like this:

![image](/uploads/260a5c6f417b44ed3f9e62890d5374c2/image.png)

If `Add Graphviz to the system PATH for current user` is selected, the PATH will contain all previously installed versions.

## OS Version

Windows 10

## Graphviz Version

`dot - graphviz version 2.45.20200622.0758 (20200622.0758)`

## Additional info

I realize that this issue is somewhat opinionated. I'm open for arguments to keep it as it is."
1521,"2.46.1","{lib/ast/sfstr.h}","{lib/ast/sfstr.h}","For various reasons, my compiler always performs optimisations, even without -O.

iffe's ""lib"" check is written in such a way that it gets optimised away entirely, thus causing all such checks to succeed, even when the function is actually not available.

Simply removing the ""static"" keyword from the global `i` variable works."
2195,"5.0.1","{}","{lib/common/logic.h}","While reviewing !2450, I recalled the Graphviz tree has various `NOTUSED` macros:

```c
#define NOTUSED(x)    (void) (x)
```

This is wrapping the common idiom for squashing warnings for unused parameters. However, it is used inconsistently in the code base. Thus Graphviz developers still need to know and recognize this idiom when they see it.

Should we remove these macros and write `(void)x;` wherever we are ignoring `x`? My thinking is that only two end states make sense: (1) `NOTUSED` used everywhere, or (2) `NOTUSED` used nowhere and removed. Which should we move towards?

CC @magjac, @makelinux

----

Some elaborating discussion for completeness...

There is a GCC extension for squashing such warnings:

```c
void foo(int x __attribute__((unused))) {
}
```

This GNU attribute is also supported by Clang. In C++, there is a much nicer portable way of expressing this by omitting the parameter name:

```cpp
void foo(int) {
}
```

There has been some discussion over the years of bringing attribute syntax to ISO C. C++11 introduced `[[...]]` syntax for attributes and I have some hope this will come to a future version of ISO C. However I am not aware of any plans for this right now.

So a void cast is the most portable way I'm currently aware of for suppressing such warnings in C."
